


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
滋賀短期大学  幼児教育保育学科　教員公募  社会科学 - 教育学 -- 社会科学 - 幼児教育・保育  常勤 (任期なし)  2021年01月29日
公益財団法人京都文化財団  京都府京都文化博物館学芸員（日本史（古代・中世・近世）分野）の公募  人文学 - 史学  常勤 (任期なし)  2021年03月05日
九州大学  准教授公募（九州大学大学院　工学研究院機械工学部門　設計工学講座）  工学 - 機械工学  常勤 (任期なし)  2021年04月30日
東京大学  准教授または講師公募（東京大学大学院総合文化研究科超域文化科学専攻（比較文学比較文化コース）／哲学・科学史部会）  人文学 - 哲学  常勤 (任期なし)  2021年02月26日
九州大学  教授の公募(地盤工学、防災地盤学分野)  工学 - 土木工学  常勤 (任期なし)  2021年03月31日
北海道情報大学  教職科目担当教員の募集（経営情報学部 システム情報学科 ）  社会科学 - 教育学  常勤 (任期なし)  2021年02月18日
東京大学  准教授あるいは専任講師の公募  総合人文社会 - 地域研究 -- 人文学 - 文学  常勤 (任期なし)  2021年03月01日
大原医療福祉＆スポーツ保育専門学校姫路校  専任教員の募集【ＣＧ・映像制作コース】  情報学 - 全て  常勤 (任期なし)  2021年03月31日
平成医療短期大学  専任教員　助手または助教（視機能療法学領域）の募集  複合領域 - 人間医工学 -- 複合領域 - 視機能学  常勤 (任期なし)  2021年02月19日
株式会社高研  核酸医薬・再生医療　研究員（正社員）の募集  医歯薬学 - 薬学 -- 生物学 - 生物科学 -- 複合領域 - 人間医工学  常勤 (任期なし)  2021年03月31日
化学メーカー  [非公開]　正社員　＜21年4月入社＞化学・工学　特殊ゴム開発のための研究員募集  工学 - 全て -- 化学 - 全て  常勤 (任期なし)  2021年06月30日
長岡技術科学大学  機械創造工学専攻　（機械情報・制御工学講座）准教授公募  工学 - 機械工学 -- 工学 - 総合工学  常勤 (任期なし)  2021年03月31日
香川高等専門学校  助教の公募（一般教育科（詫間CP）・数学）  数物系科学 - 数学  常勤 (任期なし)  2021年02月10日
九州大学  教授の公募（海岸工学、沿岸域の防災・減災に関する研究）  工学 - 土木工学  常勤 (任期なし)  2021年03月31日
山口大学  講師の公募（特別支援教育分野）  社会科学 - 教育学  常勤 (任期なし)  2021年05月10日
岡山大学  【再掲載】⼥性限定 教授または准教授の募集  工学 - プロセス工学・化学工学 -- 化学 - 複合化学 -- 環境学 - 環境保全学  常勤 (任期なし)  2021年03月10日
化学メーカー  [非公開]　正社員　＜21年4月入社＞化学メーカー　最先端の「シール材」の製品開発業務  化学 - 全て -- 工学 - 全て -- 総合理工 - 全て  常勤 (任期なし)  2021年09月30日
バイオ関連メーカー  [非公開]　正社員　＜21年4月入社＞バイオ実験・最先端の遺伝子解析技術を広く国内外の研究機関・企業に提供  生物学 - 全て -- 農学 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
バイオ関連メーカー  [非公開]　正社員　＜21年4月入社＞新規抗体薬品(診断薬)の開発業務  生物学 - 全て -- 医歯薬学 - 薬学 -- 総合生物 - 全て  常勤 (任期なし)  2021年06月30日
公益財団法人京都大学iPS細胞研究財団  京都大学iPS細胞研究財団 細胞調製施設 品質部 品質保証担当者の募集  生物学 - 生物科学 -- 医歯薬学 - 薬学 -- 医歯薬学 - 基礎医学  常勤 (任期なし)  2021年02月28日
バイオ関連メーカー  [非公開]　正社員　＜21年4月入社＞医療用機器製造のための生化学実験　大手対外診断薬メーカー  総合生物 - 全て -- 農学 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
秋田大学  助教の公募（情報工学分野）【女性限定公募】  情報学 - 人間情報学 -- 情報学 - 計算基盤 -- 情報学 - 全て  常勤 (任期なし)  2021年02月22日
トヨタ自動車株式会社  正社員（研究/開発）の公募、大規模分散型マルチエージェントシミュレーション技術の開発  情報学 - 計算基盤 -- 工学 - 機械工学 -- 総合理工 - 応用物理学  常勤 (任期なし)  2021年06月30日
東京電機大学  教授または准教授の公募（解析学）  数物系科学 - 数学  常勤 (任期なし)  2021年03月31日
東京大学  教授の公募【東京大学大学院理学系研究科物理学専攻】  数物系科学 - 物理学  常勤 (任期なし)  2021年03月31日
立命館大学  立命館大学経営学部准教授または教授「製品開発論」「マーケティング論」  社会科学 - 経営学 -- 社会科学 - 経済学  常勤 (任期なし)  2021年04月12日
北九州工業高等専門学校  国立北九州工業高等専門学校生産デザイン工学科一般科目（国語科）准教授，講師もしくは助教の公募  人文学 - 文学 -- 人文学 - 言語学 -- 社会科学 - 教育学  常勤 (任期なし)  2021年02月10日
福岡女学院大学  福岡女学院大学国際キャリア学部国際英語学科(社会言語学)教員の公募  人文学 - 言語学 -- 人文学 - 社会言語学・応用言語学  常勤 (任期なし)  2021年04月30日
福岡女学院大学  福岡女学院大学国際キャリア学部国際英語学科(英語学分野)教員の公募  人文学 - 言語学 -- 人文学 - 英語学  常勤 (任期なし)  2021年04月30日
関西学院大学  関西学院大学経済学部 専任教員募集（マクロ経済学）  社会科学 - 経済学  常勤 (任期なし)  2021年03月31日
大分大学  【再公募】教員公募（教授）【大分大学大学院教育学研究科（教職大学院）（学校経営または教育経営）】  社会科学 - 教育学  常勤 (任期なし)  2021年05月17日
株式会社SeeDNA  品質管理者  医歯薬学 - 全て -- 生物学 - 全て -- 化学 - 全て  常勤 (任期なし)  2021年05月31日
高崎健康福祉大学  健康栄養学科〔助教または助手〕の専任教員の公募について  複合領域 - 生活科学  常勤 (任期なし)  2021年02月22日
神奈川工科大学  神奈川工科大学 健康医療科学部 管理栄養学科教授、准教授、または助教(助教は任期制)1名  複合領域 - 生活科学 -- 農学 - 農芸化学  常勤 (任期なし)  2021年03月19日
株式会社メタジェン  （ポスドク3年程度・助教相当）バイオインフォマティクス・スぺシャリスト（正社員）の募集  情報学 - 全て -- 総合生物 - 全て -- 農学 - 全て  常勤 (任期なし)  2021年07月31日
一般財団法人電力中央研究所  研究員募集（電力制御システムのサイバーセキュリティ）  情報学 - 計算基盤 -- 工学 - 電気電子工学  常勤 (任期なし)  2021年04月30日
一般財団法人電力中央研究所  研究員募集（未利用熱エネルギーの変換デバイスの開発）  工学 - プロセス工学・化学工学 -- 化学 - 複合化学 -- 化学 - 材料化学  常勤 (任期なし)  2021年04月30日
一般財団法人電力中央研究所  研究員募集（原子力分野における環境リスク評価手法の研究開発）  複合領域 - 社会・安全システム科学 -- 環境学 - 環境解析学 -- 工学 - 原子力工学  常勤 (任期なし)  2021年04月30日
一般財団法人電力中央研究所  研究員募集（パワー半導体デバイス・パワーエレクトロニクス機器の性能評価、高信頼化）  工学 - 電気電子工学 -- 工学 - 材料工学 -- 総合理工 - 応用物理学  常勤 (任期なし)  2021年04月30日
一般財団法人電力中央研究所  研究員募集（気象災害に対する電力設備の被害予測手法開発と設計合理化に関する研究）  総合理工 - 計算科学 -- 工学 - 土木工学 -- 複合領域 - 社会・安全システム科学  常勤 (任期なし)  2021年04月30日
一般財団法人電力中央研究所  研究員募集（災害に備えた需要地域の電力システムに関する研究・開発）  工学 - 電気電子工学  常勤 (任期なし)  2021年04月30日
大阪大学  大阪大学 助教の公募（流体力学・流体工学）  工学 - 機械工学 -- 数物系科学 - 物理学 -- 総合理工 - 全て  常勤 (任期なし)  2021年02月12日
関西学院大学  関西学院大学経済学部 専任教員募集（労働経済学）  社会科学 - 経済学  常勤 (任期なし)  2021年03月01日
大阪大学  准教授または講師の公募（人類学・科学技術論）  人文学 - 文化人類学 -- 複合領域 - 科学社会学・科学技術史  常勤 (任期なし)  2021年03月15日
駒澤大学  駒澤大学経営学部専任教員公募「企業分析論」について  社会科学 - 経営学  常勤 (任期なし)  2021年04月24日
駒澤大学  駒澤大学経営学部専任教員公募「監査論」について  社会科学 - 経営学  常勤 (任期なし)  2021年04月24日
立命館大学  立命館大学経営学部准教授または教授「アジア経営論」「国際経営論」  社会科学 - 経営学 -- 社会科学 - 経済学  常勤 (任期なし)  2021年04月12日
立命館大学  立命館大学経営学部 准教授または教授「英語教育学」「応用言語学」「英語学」「英文学」など  人文学 - 言語学  常勤 (任期なし)  2021年05月31日
大阪大学  技術職員の公募  工学 - 電気電子工学  常勤 (任期なし)  2021年02月17日
広島女学院大学  人間生活学部 児童教育学科　教員(体育)募集  社会科学 - 教育学 -- 複合領域 - 子ども学  常勤 (任期なし)  2021年03月15日
和歌山大学  和歌山大学観光学部・教授、准教授又は講師１名の公募  総合人文社会 - 観光学 -- 社会科学 - 経営学 -- 複合領域 - デザイン学  常勤 (任期なし)  2021年02月22日
岡山理科大学  専任教員（教授または准教授）の公募〔教育心理学〕  社会科学 - 教育学 -- 社会科学 - 心理学  常勤 (任期なし)  2021年03月19日
岡山理科大学  専任教員（教授、准教授または講師)の公募〔初等体育〕  社会科学 - 教育学 -- 複合領域 - 健康・スポーツ科学  常勤 (任期なし)  2021年03月12日
長野県立大学  助手（食健康学科）の募集  その他 - 全て  常勤 (任期なし)  2021年02月15日
国立研究開発法人水産研究・教育機構  舶用機関学講座教員公募(講師または助教)  総合理工 - 熱力学・伝熱工学 -- 化学 - 冷凍・空調工学  常勤 (任期なし)  2021年04月30日
愛知県立大学  愛知県立大学教育福祉学部社会福祉学科専任教員（体育学）の公募  複合領域 - 健康・スポーツ科学  常勤 (任期なし)  2021年05月14日
弓削商船高等専門学校  練習船弓削丸　船長（海事職）の公募  その他 - 航海学  常勤 (任期なし)  2021年02月26日




==== TENURE  Full-time (Tenured)  ===== 
Polish Academy of Sciences  [MSCA]The PASIFIC Programme: Postdoctoral Fellowships at the Institutes of the Polish Academy of Sciences  Others - All Others -- Agricultural sciences - All Agricultural science -- Humanities - All Humanities  Full-time (Tenured)  2021年06月30日




==== TENURE  常勤 (テニュアトラック)  ===== 
岡山大学  岡山大学大学院医歯薬学総合研究科（医学系）組織機能修復学分野教員（常勤助教）の募集  医歯薬学 - 全て -- 総合生物 - 全て -- 生物学 - 全て  常勤 (テニュアトラック)  2021年02月28日
広島大学  助教の公募（分子細胞情報学）  医歯薬学 - 基礎医学 -- 生物学 - 基礎生物学 -- 医歯薬学 - 全て  常勤 (テニュアトラック)  2021年02月19日
